,Branch Number,Branch Street Address Street Address1,Branch City Name,Branch State Code,Branch Postal Code Postal Code,Branch Close Date ID,Fulladdress,Latitude,Longitude,is_closed_branch
205,277,"6151 METROPLEX DRIVE, STE 101",FORT MYERS,FL,33966,12/31/9999,"6151 METROPLEX DRIVE, STE 101 FORT MYERS FL 33966",26.577502,-81.852502,0
206,278,"3122 SHADER RD, UNIT F",ORLANDO,FL,32808,12/31/9999,"3122 SHADER RD, UNIT F ORLANDO FL 32808",28.585316,-81.420186,0
207,279,3790 HARTSFIELD RD.,TALLAHASSEE,FL,32303,12/31/9999,3790 HARTSFIELD RD. TALLAHASSEE FL 32303,30.469201,-84.356952,0
208,280,1252 W. 17TH STREET,PANAMA CITY,FL,32405,12/31/9999,1252 W. 17TH STREET PANAMA CITY FL 32405,30.178956,-85.683708,0
209,281,1100 INDUSTRIAL WAY EAST,SEBRING,FL,33870,12/31/9999,1100 INDUSTRIAL WAY EAST SEBRING FL 33870,27.484516,-81.434415,0
210,299,4990 BANCO RD,NORTH CHARLESTON,SC,29418,12/31/9999,4990 BANCO RD NORTH CHARLESTON SC 29418,32.865926,-80.013576,0
211,301,14610 BREAKERS DRIVE,JACKSONVILLE,FL,32258,12/31/9999,14610 BREAKERS DRIVE JACKSONVILLE FL 32258,30.156591,-81.560415,0
212,304,1808 N ASHLEY ST,VALDOSTA,GA,31602,12/31/9999,1808 N ASHLEY ST VALDOSTA GA 31602,30.854483,-83.280724,0
213,305,860 EPPES DRIVE,TALLAHASSEE,FL,32304,12/31/9999,860 EPPES DRIVE TALLAHASSEE FL 32304,30.43324,-84.304672,0
214,306,2121 EDISON AVE,JACKSONVILLE,FL,32204,12/31/9999,2121 EDISON AVE JACKSONVILLE FL 32204,30.322932,-81.685943,0
215,307,2901 N E 20TH WAY,GAINESVILLE,FL,32609,12/31/9999,2901 N E 20TH WAY GAINESVILLE FL 32609,29.67916,-82.296641,0
216,308,2000 DIVERSIFIED WAY,ORLANDO,FL,32804,12/31/9999,2000 DIVERSIFIED WAY ORLANDO FL 32804,28.569842,-81.406084,0
217,309,423 S WESTOVER BLVD,ALBANY,GA,31707,12/31/9999,423 S WESTOVER BLVD ALBANY GA 31707,31.568652,-84.222397,0
218,311,816 HICKS ST.,WAYCROSS,GA,31501,12/31/9999,816 HICKS ST. WAYCROSS GA 31501,31.210275,-82.347362,0
219,312,2284-A WILHELMINA CT. NE,PALM BAY,FL,32905,12/31/9999,2284-A WILHELMINA CT. NE PALM BAY FL 32905,28.057247,-80.592681,0
220,314,2250 EMERSON ST,JACKSONVILLE,FL,32207,12/31/9999,2250 EMERSON ST JACKSONVILLE FL 32207,30.2853,-81.638008,0
221,315,1323 SE DIXIE HIGHWAY,STUART,FL,34994,12/31/9999,1323 SE DIXIE HIGHWAY STUART FL 34994,27.187622,-80.242752,0
222,316,6151 METROPLEX DR,FORT MYERS,FL,33966,12/31/9999,6151 METROPLEX DR FORT MYERS FL 33966,26.577502,-81.852502,0
223,317,3090 44TH AVENUE NORTH,SAINT PETERSBURG,FL,33714,12/31/9999,3090 44TH AVENUE NORTH SAINT PETERSBURG FL 33714,27.812213,-82.675147,0
224,318,6411 PARKLAND DR.,SARASOTA,FL,34243,12/31/9999,6411 PARKLAND DR. SARASOTA FL 34243,27.428245,-82.536265,0
